Wavelength_nm,CD_0,CD_100,CD_200,CD_300,CD_400,CD_500,CD_600,CD_700,CD_800,CD_900,CD_1000,CD_900,CD_800,CD_700,CD_600,CD_500,CD_400,CD_300,CD_200,CD_100,CD_0
300.079983703,1.0,0.8231965018325008,0.6776524806292665,0.5578411515121288,0.4592128845029985,0.3780224401192806,0.3111867503203778,0.2561678442803589,0.21087647329356424,0.17359277513403687,0.1429009652337351,0.17359277513403687,0.21087647329356424,0.2561678442803589,0.3111867503203778,0.3780224401192806,0.4592128845029985,0.5578411515121288,0.6776524806292665,0.8231965018325008,1.0
300.163027637,1.0,0.8221513898044144,0.6759329077573302,0.555719179527228,0.45688529578927944,0.3756288809143571,0.30882380649441554,0.2538999217140733,0.20874417350845736,0.17161931236355207,0.14109705617697227,0.17161931236355207,0.20874417350845736,0.2538999217140733,0.30882380649441554,0.3756288809143571,0.45688529578927944,0.555719179527228,0.6759329077573302,0.8221513898044144,1.0
300.246057786,1.0,0.8253449719689785,0.6811943227544739,0.5622203092192185,0.4640257053529263,0.38298128277739646,0.3160916760985537,0.2608846755491882,0.21531985522828082,0.17771315987774994,0.1466746629578201,0.17771315987774994,0.21531985522828082,0.2608846755491882,0.3160916760985537,0.38298128277739646,0.4640257053529263,0.5622203092192185,0.6811943227544739,0.8253449719689785,1.0
300.329074149,1.0,0.8316088484268385,0.6915732767818124,0.5751184563072982,0.4782735971587332,0.3977365553661358,0.3307612387852896,0.2750639728904692,0.22874563373915419,0.19022689305648535,0.15819436747451918,0.19022689305648535,0.22874563373915419,0.2750639728904692,0.3307612387852896,0.3977365553661358,0.4782735971587332,0.5751184563072982,0.6915732767818124,0.8316088484268385,1.0
300.412076725,1.0,0.8401500443296964,0.7058520969871909,0.5930216705739975,0.49822718282121464,0.4185855897335032,0.3516747017703748,0.29545951628201317,0.24823032570196404,0.20855071914248008,0.17521389593254466,0.20855071914248008,0.24823032570196404,0.29545951628201317,0.3516747017703748,0.4185855897335032,0.49822718282121464,0.5930216705739975,0.7058520969871909,0.8401500443296964,1.0
300.49506551,1.0,0.850170501550447,0.7227898817065387,0.6144946362460362,0.5224252130973521,0.44415050544157497,0.3776036579751484,0.3210274912880154,0.2729281032798138,0.2320354224526115,0.19726967148400654,0.2320354224526115,0.2729281032798138,0.3210274912880154,0.3776036579751484,0.44415050544157497,0.5224252130973521,0.6144946362460362,0.7227898817065387,0.850170501550447,1.0
300.578040504,1.0,0.8609449506024874,0.7412262079679196,0.6381549610042095,0.5494162913785016,0.47301718184106584,0.40724175425428427,0.3506127319997251,0.3018582612321065,0.25988334580542866,0.22374525431686396,0.25988334580542866,0.3018582612321065,0.3506127319997251,0.40724175425428427,0.47301718184106584,0.5494162913785016,0.6381549610042095,0.7412262079679196,0.8609449506024874,1.0
300.661001705,1.0,0.8719031636149678,0.7602151267217893,0.6628339740166816,0.5779270388966261,0.5038964135525988,0.43934887711074705,0.38306967588354407,0.33399966228782246,0.29121536219508326,0.25391159559117177,0.29121536219508326,0.33399966228782246,0.38306967588354407,0.43934887711074705,0.5038964135525988,0.5779270388966261,0.6628339740166816,0.7602151267217893,0.8719031636149678,1.0
300.743949112,1.0,0.8825305320629914,0.7788601400233867,0.6873678537774953,0.6066231177172494,0.5353634228407148,0.47247456640668023,0.41697323047711865,0.36799160694899585,0.3247638286754125,0.286613994515726,0.3247638286754125,0.36799160694899585,0.41697323047711865,0.47247456640668023,0.5353634228407148,0.6066231177172494,0.6873678537774953,0.7788601400233867,0.8825305320629914,1.0
300.826882721,1.0,0.8924168418334998,0.7964078195880777,0.710727751168296,0.6342654151010362,0.5660291386286804,0.5051339362807432,0.4507900321185852,0.4022926167932897,0.35901270657160195,0.320388985776726,0.35901270657160195,0.4022926167932897,0.4507900321185852,0.5051339362807432,0.5660291386286804,0.6342654151010362,0.710727751168296,0.7964078195880777,0.8924168418334998,1.0
300.909802533,1.0,0.9012912210316864,0.812325865108788,0.7321421708395205,0.6598733111247409,0.5947380223098396,0.5360321583216057,0.48312107848593017,0.4354327867347291,0.39245174803337396,0.3537133151810193,0.39245174803337396,0.4354327867347291,0.48312107848593017,0.5360321583216057,0.5947380223098396,0.6598733111247409,0.7321421708395205,0.812325865108788,0.9012912210316864,1.0
